iter	Passed	Remaining
683	6766	3126
684	6773	685	6685	6783	686	6686	6792	687	6687	6801	688	6688	6813	689	6689	6820	690	6690	6834	691	6691	6849	3048
692	6860	3039
693	6868	3028
694	6879	3019
695	6890	3009
696	6897	697	6697	6907	698	6698	6916	699	6699	6927	700	6700	6936	701	6701	6947	702	6702	6954	703	6956	2924
704	6966	2914
705	6976	2905
706	6984	2894
707	6992	2883
708	7002	2873
709	7709	7023	710	7025	2855
711	7711	7045	712	7712	7058	713	7713	7069	714	7714	7082	715	7715	7098	2815
716	7112	2807
717	7125	2798
718	7134	2788
719	7144	2778
720	7154	2768
721	7164	2758
722	7175	2749
723	7187	2740
724	7198	2730
725	7209	2721
726	7220	2711
727	7230	2701
728	7240	2691
729	7249	2681
730	7257	2670
731	7273	2662
732	7286	2654
733	7295	2643
734	7304	2633
735	7314	2623
736	7327	2614
737	7340	2605
738	7348	2595
739	7361	2586
740	7372	2576
741	7381	2566
742	7393	2557
743	7404	2547
744	7418	2539
745	7426	2528
746	7437	2519
747	7445	2508
748	7457	2499
749	7466	2488
750	7477	2479
751	7488	2469
752	7496	2459
753	7508	2449
754	7518	2439
755	7527	2429
756	7537	2419
757	7545	2409
758	7555	2398
759	7570	2390
760	7582	2381
761	7593	2371
762	7603	2361
763	7616	2352
764	7623	2341
765	7635	2332
766	7653	2324
767	7676	2318
768	7694	2311
769	7703	2301
770	7717	2292
771	7726	2281
772	7735	2271
773	7741	2260
774	7753	2250
775	7764	2241
776	7773	2231
777	7783	2220
778	7792	2210
779	7806	2201
780	7817	2192
781	7828	2182
782	7842	2173
783	7858	2165
784	7868	2155
785	7882	2146
786	7890	2135
787	7902	21787788	7912	789	7789	7923	790	7790	7938	2097
791	7952	2088
792	7965	2079
793	7977	2069
794	7989	2060
795	8001	2050
796	8010	2040
797	8019	2030
798	8031	2020
799	8043	2010
800	8053	2000
801	8065	1991
802	8075	1981
803	8084	1970
804	8093	1960
805	8103	1950
806	8115	1940
807	8124	1930
808	8134	1920
809	8144	1910
810	8153	1900
811	8163	1890
812	8171	1879
813	8180	1869
814	8189	1858
815	8198	1848
816	8208	1838
817	8217	1828
818	8226	1818
819	8234	18819820	8245	17820821	8255	17821822	8269	1778
823	8277	1768
824	8284	1757
825	8294	1747
826	8310	1738
827	8319	1728
828	8328	1717
829	8340	1708
830	8350	1698
831	8361	1688
832	8373	1678
833	8381	1668
834	8391	1658
835	8400	1648
836	8411	1638
837	8421	1628
838	8432	1618
839	8442	1608
840	8450	1597
841	8458	1587
842	8470	1577
843	8482	1567
844	8492	1557
845	8500	1547
846	8513	1537
847	8522	1527
848	8536	1518
849	8548	1508
850	8558	1498
851	8569	1488
852	8581	1478
853	8590	1468
854	8599	1458
855	8609	1448
856	8621	1438
857	8632	1428
858	8644	1418
859	8651	1408
860	8658	1397
861	8674	1388
862	8687	1379
863	8698	1369
864	8707	1358
865	8717	1348
866	8727	1338
867	8736	1328
868	8750	1319
869	8759	1308
870	8767	1298
871	8776	1288
872	8784	1277
873	8794	1267
874	8805	1257
875	8817	1248
876	8827	1238
877	8843	1228
878	8854	1218
879	8863	1208
880	8875	1198
881	8884	1188
882	8890	1178
883	8898	1167
884	8906	1157
885	8917	1147
886	8927	1137
887	8939	1127
888	8950	1117
889	8957	1107
890	8967	1097
891	8976	1086
892	8988	1076
893	8997	1066
894	9003	895	8895	9015	896	9896	9025	897	9897	9035	898	9898	9044	899	9045	1005
900	9055	994
901	9901	9076902	9902	9084903	9082	964
904	9904	9100905	9905	9107906	9906	9116907	9907	9124908	9908	9133909	9909	9139910	9140	892
911	9146	882
912	9157	872
913	9168	862
914	9175	852
915	9180	841
916	9188	831
917	9193	821
918	9200	810
919	9205	800
920	9210	790
